12,0,0,50,0,0,7,0,0,7,2,1
28,0,0,48,16,11,22,0,26,5385,1,1
32,4,4,84,17,14,13,21,28,7854,1,0
30,0,0,42,0,9,33,4,36,9165,1,0
15,0,0,5,2,0,21,0,0,2044,1,1
15,5,0,28,0,0,17,8,0,6771,2,0
15,3,3,39,0,2,15,8,13,5811,2,0
15,3,3,39,0,2,15,8,13,5811,2,0
25,0,0,5,0,5,26,0,4,5026,2,1
4,0,0,1,0,0,6,0,0,1,1,1
1,4,1,10,2,1,2,3,149,2835,0,0
9,5,5,156,5,3,32,0,11,9828,2,1
14,0,0,6,1,0,6,0,0,1,3,1
15,0,0,19,4,0,3,0,0,57,1,1
11,0,0,14,0,0,4,0,0,4,1,1
36,0,0,8,0,0,3,3,0,1946,3,0
16,0,0,13,7,0,24,0,0,2432,1,1
26,0,0,0,0,0,55,0,0,11196,1,1
20,0,0,49,0,3,38,0,4,7987,2,1
13,0,0,16,0,0,5,0,0,5,1,1
23,6,4,147,23,20,62,0,57,14247,1,1
32,0,0,0,0,0,16,0,0,4627,4,1
15,1,1,11,0,0,4,0,387,852,2,1
15,1,1,11,0,0,4,0,387,852,2,1
11,0,0,26,0,0,8,0,0,3,1,1
19,0,0,43,1,14,8,12,387,5875,4,0
19,0,0,43,1,14,8,12,387,5875,4,0
31,1,1,50,3,18,35,25,387,10843,2,0
31,1,1,50,3,18,35,25,387,10843,2,0
15,3,0,105,4,1,17,11,0,10214,3,0
11,0,0,11,11,0,3,0,0,5,1,1
32,5,5,48,0,1,19,6,16,7111,1,0
13,0,0,5,0,0,2,0,0,2,2,1
12,0,0,2,0,0,3,0,0,2,3,1
28,0,0,35,25,2,9,0,26,1582,2,1
3,0,0,16,2,0,7,0,0,4,2,1
20,3,0,8,0,0,4,0,0,1788,1,1
1,0,0,0,0,0,4,0,0,249,1,1
32,2,2,31,3,3,12,4,12,5702,1,0
15,0,0,31,2,0,11,0,0,1285,1,1
15,3,0,53,23,1,8,11,140,3769,1,0
28,1,1,1,0,1,8,0,3,3305,3,1
21,0,0,40,0,6,14,0,15,5043,1,1
4,2,0,3,2,1,4,0,121,553,2,1
2,4,0,41,4,5,8,13,37,4787,0,0
31,1,0,1,0,0,15,1,0,7502,1,0
21,1,0,197,43,1,67,0,5,16007,2,1
25,0,0,29,1,4,32,0,20,9166,3,1
22,0,0,18,0,0,18,0,0,4878,1,1
19,0,0,68,0,0,20,0,0,4992,1,1
13,0,0,1,0,0,0,0,0,1,3,1
16,0,0,31,7,0,9,0,0,998,1,1
13,0,0,52,8,0,5,0,0,7,3,1
0,5,5,48,2,6,16,23,23,6683,1,0
16,1,0,7,0,2,2,0,4,334,1,1
30,7,6,130,0,21,14,32,80,21620,1,0
30,0,0,0,0,0,0,0,0,0,0,0
23,1,0,41,0,3,5,0,11,1513,1,1
36,4,4,97,46,10,32,18,17,12723,2,0
25,5,4,95,84,21,130,0,81,29844,2,1
14,0,0,21,1,1,9,0,1,560,2,1
26,3,1,97,36,3,45,0,24,9503,1,1
5,0,0,0,0,0,12,0,0,0,2,1
31,4,4,80,4,3,14,18,387,9397,2,0
31,4,4,80,4,3,14,18,387,9397,2,0
16,0,0,8,0,0,1,0,0,567,1,1
7,0,0,7,0,0,5,0,0,2,2,1
31,0,0,0,0,0,0,0,0,0,1,0
12,0,0,16,0,0,8,0,0,5,1,1
3,0,0,12,1,0,8,0,0,6,1,1
35,5,4,48,3,14,25,7,61,7052,2,0
21,0,0,25,7,0,5,0,0,1733,2,1
21,0,0,29,0,2,25,0,2,5784,2,1
19,0,0,23,0,2,9,0,2,2420,2,1
4,0,0,3,0,0,7,0,0,3,0,1
14,0,0,70,6,0,11,0,0,5,1,1
12,0,0,10,0,0,2,0,0,4,2,1
23,1,0,207,35,6,65,0,3,15275,1,1
30,2,0,93,32,1,37,7,1,12251,1,0
30,1,0,205,4,9,49,22,10,16640,4,0
25,0,0,23,0,6,7,0,9,3729,3,1
12,1,0,6,0,0,2,0,0,3,0,1
30,0,0,8,0,0,5,7,0,4517,1,0
14,0,0,26,0,0,1,0,0,5,2,1
28,3,2,9,1,1,3,0,6,2143,1,1
11,0,0,13,0,0,1,0,0,3,1,1
17,3,3,82,4,2,33,0,27,9018,3,1
14,0,0,33,0,0,6,0,0,4,2,1
30,6,3,45,2,10,15,16,32,9830,1,0
32,0,0,0,0,0,6,3,16,3501,1,0
19,2,0,82,0,0,20,7,0,10720,1,0
10,0,0,1,0,0,2,0,0,1,1,1
22,0,0,19,0,0,24,0,3,6154,2,1
31,5,4,129,21,10,19,32,31,15176,1,0
7,1,1,10,1,0,5,0,1,3,3,1
29,2,0,53,0,1,22,0,0,5637,2,1
28,0,0,36,0,0,11,0,0,3481,3,1
4,0,0,8,0,0,18,0,0,4,1,1
23,0,0,124,3,11,36,0,10,8112,3,1
16,0,0,26,11,0,12,0,0,3,1,1
14,0,0,16,4,0,8,0,0,664,1,1
36,2,2,180,34,10,45,49,33,17442,2,0
5,0,0,0,0,0,5,0,0,0,1,1
0,0,0,0,0,0,0,0,0,0,1,1
14,1,0,57,0,1,14,0,3,1872,1,1
3,0,0,0,0,0,4,0,0,0,1,1
17,4,2,21,5,2,9,0,4,3144,2,1
11,0,0,2,0,0,4,0,0,2,1,1
19,2,0,9,0,0,3,0,0,1116,1,1
29,6,6,169,13,14,19,34,56,15816,0,0
2,0,0,0,0,0,0,0,0,0,2,1
11,0,0,4,0,0,3,0,0,137,1,1
10,0,0,3,0,0,14,0,0,2,2,1
7,0,0,0,0,0,0,0,0,0,0,1
3,0,0,4,0,0,5,0,0,1,1,1
3,0,0,4,0,0,5,0,0,1,1,1
3,0,0,0,0,0,4,0,0,0,2,1
29,4,4,61,13,10,12,30,30,5591,1,0
26,1,1,38,19,7,18,1,25,11173,1,1
4,0,0,4,0,0,2,0,0,4,1,1
6,0,0,10,0,0,3,0,0,7,1,1
16,1,1,104,17,12,4,0,387,5350,2,1
16,1,1,104,17,12,4,0,387,5350,2,1
29,8,7,38,11,15,20,20,91,9229,0,0
29,1,0,21,2,6,71,5,8,11460,3,0
11,1,0,0,0,0,7,0,0,1,1,1
4,0,0,0,0,0,0,0,0,0,1,1
7,1,0,11,0,3,9,0,5,2134,3,1
16,1,1,26,3,2,11,0,6,3537,1,1
25,3,3,104,41,38,54,39,401,13475,1,0
3,0,0,0,0,0,3,0,0,0,1,1
12,0,0,0,0,0,9,0,0,887,2,1
10,4,1,40,0,8,42,11,16,11446,2,0
17,0,0,41,15,1,42,0,6,9530,1,1
6,0,0,10,1,0,3,0,0,3,2,1
25,1,0,30,14,1,7,0,38,2030,1,0
25,0,0,0,0,0,3,0,38,1035,0,0
14,0,0,10,4,1,2,0,3,582,1,1
4,0,0,1,0,0,8,0,0,1,0,1
28,1,0,13,0,0,5,3,0,3263,1,0
28,3,0,0,0,0,10,0,0,7437,1,0
2,0,0,6,0,0,0,0,0,3,0,1
2,0,0,0,0,0,0,0,0,0,1,1
1,0,0,19,0,0,0,0,0,5,1,1
3,0,0,6,1,0,6,0,0,1,2,1
17,0,0,15,0,1,1,0,1,873,0,1
28,2,0,26,0,1,1,9,2,2850,0,0
28,5,5,56,36,17,16,23,51,10692,1,0
3,0,0,0,0,0,4,0,0,0,1,1
24,3,2,112,2,9,42,0,38,14932,3,1
9,1,0,11,0,0,1,0,3,5,0,1
9,0,0,5,0,0,0,0,3,3,2,1
9,0,0,8,0,1,0,0,3,1,4,1
5,0,0,2,0,0,0,0,0,2,1,1
5,0,0,5,0,0,2,0,0,2,0,1
9,0,0,6,0,0,0,0,3,2,0,1
6,0,0,0,0,0,0,0,0,0,1,1
28,5,5,252,13,64,28,92,276,13518,0,0
10,2,0,5,0,0,0,0,0,17,0,1
3,0,0,0,0,0,0,0,0,0,2,1
5,1,0,5,0,0,0,0,0,4,2,1
4,0,0,10,0,0,16,0,0,9,1,1
1,0,0,0,0,0,0,0,0,0,0,1
27,5,5,14,0,2,0,5,23,6631,0,0
5,0,0,2,0,0,6,0,0,1,2,1
7,0,0,18,0,0,2,0,0,11,1,1
3,0,0,1,0,0,3,0,0,1,2,1
21,1,0,38,5,4,7,0,121,3115,1,1
1,0,0,1,0,0,3,0,0,1,0,1
27,0,0,48,18,4,8,13,1,9182,1,0
3,0,0,0,0,0,3,0,0,0,1,1
7,0,0,7,0,0,5,0,0,4,1,1
3,0,0,1,1,0,1,0,0,1,1,1
1,0,0,5,0,0,10,3,1,441,0,0
6,0,0,7,0,4,0,0,5,282,1,1
2,0,0,3,0,0,0,0,0,1,2,1
5,0,0,14,0,0,0,0,0,7,2,1
15,1,0,9,1,3,8,4,4,4367,1,0
8,6,5,191,13,35,82,44,106,23411,0,0
3,0,0,14,2,0,6,0,0,7,2,1
9,0,0,2,0,0,9,0,0,1,1,1
4,1,0,25,0,0,13,0,0,16,0,1
1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,0,0,5,0,0,1,3,1
